amount,note,type_name,type_category
-824,Примітка 1120,Папір,Їжа
53,Примітка 1121,Кава,Оренда
596,Примітка 1122,Папір,Оренда
508,Примітка 1123,Хліб,Їжа
9,Примітка 1124,Мило,Канцелярія
-196,Примітка 1125,Ручка,Канцелярія
-753,Примітка 1126,Оренда офісу,Оренда
-77,Примітка 1127,Шафа,Канцелярія
-650,Примітка 1128,Оренда офісу,Канцелярія
-367,Примітка 1129,Папір,Канцелярія
141,Примітка 1130,Хліб,Інше
-529,Примітка 1131,Шафа,Їжа
-102,Примітка 1132,Папір,Канцелярія
-364,Примітка 1133,Кава,Їжа
-969,Примітка 1134,Ручка,Їжа
418,Примітка 1135,Шафа,Канцелярія
-326,Примітка 1136,Ручка,Оренда
645,Примітка 1137,Мило,Інше
659,Примітка 1138,Папір,Канцелярія
-636,Примітка 1139,Оренда офісу,Інше
-800,Примітка 1140,Мило,Їжа
-888,Примітка 1141,Хліб,Оренда
-83,Примітка 1142,Папір,Їжа
-532,Примітка 1143,Ручка,Канцелярія
312,Примітка 1144,Хліб,Канцелярія
-340,Примітка 1145,Мило,Оренда
-657,Примітка 1146,Шафа,Оренда
68,Примітка 1147,Папір,Їжа
727,Примітка 1148,Мило,Канцелярія
-591,Примітка 1149,Хліб,Оренда
296,Примітка 1150,Папір,Їжа
-956,Примітка 1151,Шафа,Інше
-18,Примітка 1152,Папір,Інше
-352,Примітка 1153,Шафа,Їжа
86,Примітка 1154,Папір,Канцелярія
-600,Примітка 1155,Мило,Канцелярія
-237,Примітка 1156,Мило,Інше
-83,Примітка 1157,Ручка,Оренда
-659,Примітка 1158,Мило,Оренда
751,Примітка 1159,Кава,Їжа
-526,Примітка 1160,Шафа,Оренда
446,Примітка 1161,Хліб,Канцелярія
-623,Примітка 1162,Кава,Канцелярія
-980,Примітка 1163,Шафа,Інше
98,Примітка 1164,Хліб,Канцелярія
167,Примітка 1165,Хліб,Оренда
-170,Примітка 1166,Хліб,Канцелярія
-25,Примітка 1167,Кава,Їжа
653,Примітка 1168,Папір,Інше
-912,Примітка 1169,Шафа,Їжа
-964,Примітка 1170,Мило,Їжа
-110,Примітка 1171,Оренда офісу,Їжа
-69,Примітка 1172,Ручка,Канцелярія
23,Примітка 1173,Мило,Інше
892,Примітка 1174,Хліб,Інше
278,Примітка 1175,Хліб,Інше
562,Примітка 1176,Оренда офісу,Канцелярія
265,Примітка 1177,Кава,Інше
-275,Примітка 1178,Ручка,Оренда
690,Примітка 1179,Оренда офісу,Інше
-249,Примітка 1180,Хліб,Оренда
438,Примітка 1181,Ручка,Їжа
-253,Примітка 1182,Папір,Канцелярія
-570,Примітка 1183,Папір,Інше
-326,Примітка 1184,Оренда офісу,Оренда
-811,Примітка 1185,Хліб,Оренда
-221,Примітка 1186,Мило,Канцелярія
-945,Примітка 1187,Папір,Канцелярія
818,Примітка 1188,Мило,Їжа
-647,Примітка 1189,Хліб,Інше
-125,Примітка 1190,Папір,Їжа
-348,Примітка 1191,Мило,Канцелярія
830,Примітка 1192,Мило,Оренда
-151,Примітка 1193,Шафа,Їжа
244,Примітка 1194,Оренда офісу,Інше
543,Примітка 1195,Оренда офісу,Їжа
750,Примітка 1196,Ручка,Їжа
50,Примітка 1197,Ручка,Оренда
467,Примітка 1198,Оренда офісу,Їжа
-121,Примітка 1199,Кава,Інше
617,Примітка 1200,Мило,Оренда
-473,Примітка 1201,Мило,Їжа
276,Примітка 1202,Папір,Їжа
644,Примітка 1203,Хліб,Канцелярія
696,Примітка 1204,Папір,Інше
396,Примітка 1205,Шафа,Їжа
-860,Примітка 1206,Папір,Їжа
-929,Примітка 1207,Оренда офісу,Їжа
111,Примітка 1208,Шафа,Оренда
-546,Примітка 1209,Мило,Інше
-872,Примітка 1210,Хліб,Інше
-423,Примітка 1211,Кава,Їжа
-329,Примітка 1212,Хліб,Їжа
-822,Примітка 1213,Оренда офісу,Їжа
-19,Примітка 1214,Мило,Інше
-797,Примітка 1215,Кава,Їжа
235,Примітка 1216,Оренда офісу,Інше
43,Примітка 1217,Шафа,Інше
531,Примітка 1218,Мило,Їжа
783,Примітка 1219,Шафа,Інше
-494,Примітка 1220,Хліб,Оренда
778,Примітка 1221,Оренда офісу,Оренда
-818,Примітка 1222,Шафа,Їжа
524,Примітка 1223,Мило,Канцелярія
-405,Примітка 1224,Шафа,Інше
430,Примітка 1225,Папір,Оренда
-589,Примітка 1226,Ручка,Інше
-992,Примітка 1227,Оренда офісу,Канцелярія
465,Примітка 1228,Шафа,Оренда
-603,Примітка 1229,Папір,Їжа
-294,Примітка 1230,Кава,Канцелярія
-127,Примітка 1231,Мило,Канцелярія
-775,Примітка 1232,Мило,Канцелярія
-179,Примітка 1233,Кава,Інше
-61,Примітка 1234,Шафа,Оренда
-411,Примітка 1235,Ручка,Їжа
859,Примітка 1236,Ручка,Їжа
249,Примітка 1237,Мило,Канцелярія
404,Примітка 1238,Шафа,Їжа
409,Примітка 1239,Хліб,Інше
610,Примітка 1240,Папір,Канцелярія
-971,Примітка 1241,Папір,Оренда
246,Примітка 1242,Оренда офісу,Оренда
506,Примітка 1243,Шафа,Оренда
-619,Примітка 1244,Ручка,Канцелярія
-513,Примітка 1245,Папір,Канцелярія
-313,Примітка 1246,Ручка,Оренда
-214,Примітка 1247,Кава,Їжа
60,Примітка 1248,Папір,Оренда
-362,Примітка 1249,Папір,Їжа
6,Примітка 1250,Кава,Оренда
-683,Примітка 1251,Хліб,Інше
502,Примітка 1252,Кава,Інше
775,Примітка 1253,Хліб,Канцелярія
-182,Примітка 1254,Ручка,Інше
-554,Примітка 1255,Папір,Їжа
77,Примітка 1256,Папір,Інше
-270,Примітка 1257,Папір,Канцелярія
163,Примітка 1258,Оренда офісу,Оренда
-910,Примітка 1259,Кава,Інше
-934,Примітка 1260,Ручка,Інше
907,Примітка 1261,Ручка,Оренда
971,Примітка 1262,Кава,Їжа
-591,Примітка 1263,Оренда офісу,Оренда
566,Примітка 1264,Хліб,Канцелярія
629,Примітка 1265,Папір,Канцелярія
-43,Примітка 1266,Мило,Інше
-407,Примітка 1267,Хліб,Їжа
216,Примітка 1268,Мило,Інше
46,Примітка 1269,Папір,Інше
-921,Примітка 1270,Папір,Їжа
-281,Примітка 1271,Хліб,Інше
989,Примітка 1272,Кава,Інше
-785,Примітка 1273,Хліб,Оренда
-706,Примітка 1274,Ручка,Інше
-873,Примітка 1275,Мило,Оренда
802,Примітка 1276,Оренда офісу,Оренда
-622,Примітка 1277,Ручка,Канцелярія
-372,Примітка 1278,Папір,Канцелярія
525,Примітка 1279,Оренда офісу,Їжа
-267,Примітка 1280,Шафа,Канцелярія
-804,Примітка 1281,Хліб,Оренда
-775,Примітка 1282,Оренда офісу,Оренда
106,Примітка 1283,Кава,Інше
286,Примітка 1284,Папір,Інше
472,Примітка 1285,Мило,Оренда
-504,Примітка 1286,Шафа,Їжа
-125,Примітка 1287,Мило,Канцелярія
705,Примітка 1288,Мило,Їжа
794,Примітка 1289,Ручка,Інше
590,Примітка 1290,Хліб,Інше
439,Примітка 1291,Шафа,Оренда
-824,Примітка 1292,Оренда офісу,Оренда
-23,Примітка 1293,Шафа,Їжа
634,Примітка 1294,Кава,Канцелярія
222,Примітка 1295,Папір,Оренда
-301,Примітка 1296,Мило,Їжа
-760,Примітка 1297,Шафа,Оренда
916,Примітка 1298,Мило,Канцелярія
-250,Примітка 1299,Ручка,Оренда
169,Примітка 1300,Кава,Канцелярія
-837,Примітка 1301,Хліб,Канцелярія
102,Примітка 1302,Кава,Інше
351,Примітка 1303,Мило,Оренда
507,Примітка 1304,Шафа,Інше
75,Примітка 1305,Кава,Інше
-84,Примітка 1306,Ручка,Оренда
798,Примітка 1307,Папір,Інше
245,Примітка 1308,Кава,Інше
371,Примітка 1309,Ручка,Оренда
-877,Примітка 1310,Папір,Канцелярія
145,Примітка 1311,Оренда офісу,Оренда
-640,Примітка 1312,Оренда офісу,Оренда
691,Примітка 1313,Ручка,Їжа
-508,Примітка 1314,Оренда офісу,Їжа
-999,Примітка 1315,Папір,Їжа
223,Примітка 1316,Ручка,Канцелярія
148,Примітка 1317,Шафа,Канцелярія
921,Примітка 1318,Папір,Канцелярія
-403,Примітка 1319,Оренда офісу,Канцелярія
-148,Примітка 1320,Папір,Інше
-161,Примітка 1321,Оренда офісу,Інше
313,Примітка 1322,Шафа,Канцелярія
-67,Примітка 1323,Оренда офісу,Інше
-784,Примітка 1324,Папір,Їжа
953,Примітка 1325,Оренда офісу,Оренда
662,Примітка 1326,Шафа,Їжа
-240,Примітка 1327,Кава,Їжа
-62,Примітка 1328,Хліб,Інше
-516,Примітка 1329,Папір,Їжа
-432,Примітка 1330,Ручка,Їжа
-37,Примітка 1331,Кава,Їжа
-618,Примітка 1332,Мило,Оренда
267,Примітка 1333,Кава,Оренда
-511,Примітка 1334,Оренда офісу,Канцелярія
992,Примітка 1335,Оренда офісу,Оренда
315,Примітка 1336,Хліб,Їжа
897,Примітка 1337,Хліб,Інше
-513,Примітка 1338,Шафа,Канцелярія
721,Примітка 1339,Мило,Інше
-765,Примітка 1340,Кава,Їжа
-204,Примітка 1341,Шафа,Їжа
813,Примітка 1342,Мило,Канцелярія
-567,Примітка 1343,Папір,Оренда
-545,Примітка 1344,Мило,Канцелярія
-947,Примітка 1345,Ручка,Їжа
-93,Примітка 1346,Мило,Оренда
7,Примітка 1347,Хліб,Інше
952,Примітка 1348,Мило,Оренда
-111,Примітка 1349,Мило,Їжа
474,Примітка 1350,Шафа,Канцелярія
114,Примітка 1351,Мило,Оренда
538,Примітка 1352,Оренда офісу,Канцелярія
-809,Примітка 1353,Оренда офісу,Оренда
-229,Примітка 1354,Папір,Їжа
-450,Примітка 1355,Шафа,Канцелярія
-118,Примітка 1356,Папір,Інше
-437,Примітка 1357,Ручка,Їжа
734,Примітка 1358,Хліб,Канцелярія
321,Примітка 1359,Мило,Оренда
92,Примітка 1360,Хліб,Канцелярія
-432,Примітка 1361,Папір,Оренда
-254,Примітка 1362,Оренда офісу,Їжа
294,Примітка 1363,Хліб,Оренда
-405,Примітка 1364,Папір,Їжа
639,Примітка 1365,Шафа,Канцелярія
-560,Примітка 1366,Хліб,Оренда
681,Примітка 1367,Шафа,Канцелярія
-28,Примітка 1368,Мило,Їжа
-501,Примітка 1369,Хліб,Інше
-778,Примітка 1370,Папір,Канцелярія
-103,Примітка 1371,Кава,Їжа
181,Примітка 1372,Оренда офісу,Інше
54,Примітка 1373,Хліб,Інше
-267,Примітка 1374,Кава,Їжа
411,Примітка 1375,Шафа,Інше
-256,Примітка 1376,Оренда офісу,Оренда
766,Примітка 1377,Хліб,Інше
367,Примітка 1378,Шафа,Канцелярія
-767,Примітка 1379,Кава,Їжа
-80,Примітка 1380,Хліб,Їжа
174,Примітка 1381,Шафа,Оренда
-627,Примітка 1382,Шафа,Інше
-656,Примітка 1383,Папір,Інше
-149,Примітка 1384,Шафа,Їжа
795,Примітка 1385,Шафа,Оренда
-731,Примітка 1386,Ручка,Їжа
280,Примітка 1387,Кава,Їжа
-76,Примітка 1388,Ручка,Їжа
-444,Примітка 1389,Мило,Оренда
-968,Примітка 1390,Шафа,Канцелярія
-251,Примітка 1391,Ручка,Інше
-592,Примітка 1392,Ручка,Інше
-677,Примітка 1393,Шафа,Їжа
-303,Примітка 1394,Ручка,Канцелярія
-168,Примітка 1395,Шафа,Канцелярія
230,Примітка 1396,Оренда офісу,Оренда
-139,Примітка 1397,Хліб,Їжа
-621,Примітка 1398,Папір,Їжа
976,Примітка 1399,Папір,Оренда
-710,Примітка 1400,Оренда офісу,Їжа
-779,Примітка 1401,Шафа,Оренда
707,Примітка 1402,Оренда офісу,Канцелярія
891,Примітка 1403,Хліб,Їжа
908,Примітка 1404,Папір,Інше
-260,Примітка 1405,Оренда офісу,Їжа
397,Примітка 1406,Мило,Їжа
-715,Примітка 1407,Папір,Канцелярія
-351,Примітка 1408,Шафа,Інше
281,Примітка 1409,Ручка,Канцелярія
-87,Примітка 1410,Ручка,Їжа
-63,Примітка 1411,Мило,Інше
317,Примітка 1412,Шафа,Оренда
775,Примітка 1413,Мило,Канцелярія
-897,Примітка 1414,Ручка,Інше
507,Примітка 1415,Мило,Їжа
397,Примітка 1416,Мило,Оренда
304,Примітка 1417,Ручка,Оренда
547,Примітка 1418,Хліб,Оренда
71,Примітка 1419,Кава,Оренда
-987,Примітка 1420,Хліб,Канцелярія
-187,Примітка 1421,Папір,Їжа
-556,Примітка 1422,Мило,Оренда
656,Примітка 1423,Шафа,Оренда
255,Примітка 1424,Папір,Канцелярія
306,Примітка 1425,Хліб,Оренда
912,Примітка 1426,Кава,Оренда
19,Примітка 1427,Оренда офісу,Оренда
-64,Примітка 1428,Кава,Канцелярія
-913,Примітка 1429,Шафа,Інше
-167,Примітка 1430,Мило,Їжа
-163,Примітка 1431,Хліб,Їжа
-623,Примітка 1432,Оренда офісу,Канцелярія
-883,Примітка 1433,Хліб,Канцелярія
-176,Примітка 1434,Мило,Оренда
-730,Примітка 1435,Оренда офісу,Інше
-552,Примітка 1436,Папір,Їжа
-89,Примітка 1437,Шафа,Канцелярія
-153,Примітка 1438,Папір,Їжа
-766,Примітка 1439,Папір,Канцелярія
847,Примітка 1440,Ручка,Канцелярія
-847,Примітка 1441,Папір,Інше
-386,Примітка 1442,Папір,Їжа
801,Примітка 1443,Хліб,Інше
-173,Примітка 1444,Папір,Оренда
170,Примітка 1445,Оренда офісу,Канцелярія
463,Примітка 1446,Хліб,Їжа
-139,Примітка 1447,Папір,Канцелярія
314,Примітка 1448,Хліб,Їжа
-719,Примітка 1449,Папір,Інше
-548,Примітка 1450,Ручка,Інше
-472,Примітка 1451,Ручка,Канцелярія
197,Примітка 1452,Ручка,Інше
993,Примітка 1453,Кава,Інше
647,Примітка 1454,Мило,Інше
161,Примітка 1455,Мило,Інше
238,Примітка 1456,Кава,Канцелярія
363,Примітка 1457,Оренда офісу,Інше
-277,Примітка 1458,Ручка,Їжа
359,Примітка 1459,Кава,Канцелярія
338,Примітка 1460,Хліб,Їжа
-478,Примітка 1461,Кава,Оренда
659,Примітка 1462,Кава,Їжа
-660,Примітка 1463,Мило,Оренда
-491,Примітка 1464,Кава,Інше
188,Примітка 1465,Папір,Канцелярія
-290,Примітка 1466,Оренда офісу,Їжа
-859,Примітка 1467,Ручка,Оренда
222,Примітка 1468,Шафа,Оренда
-137,Примітка 1469,Оренда офісу,Інше
211,Примітка 1470,Оренда офісу,Канцелярія
928,Примітка 1471,Хліб,Канцелярія
84,Примітка 1472,Оренда офісу,Канцелярія
-134,Примітка 1473,Ручка,Канцелярія
-1,Примітка 1474,Ручка,Інше
-119,Примітка 1475,Оренда офісу,Оренда
-779,Примітка 1476,Шафа,Канцелярія
402,Примітка 1477,Хліб,Канцелярія
-144,Примітка 1478,Шафа,Оренда
424,Примітка 1479,Мило,Інше
-998,Примітка 1480,Кава,Їжа
667,Примітка 1481,Папір,Інше
710,Примітка 1482,Кава,Інше
-697,Примітка 1483,Кава,Оренда
747,Примітка 1484,Шафа,Їжа
199,Примітка 1485,Папір,Канцелярія
213,Примітка 1486,Папір,Інше
-899,Примітка 1487,Хліб,Канцелярія
160,Примітка 1488,Ручка,Їжа
438,Примітка 1489,Хліб,Їжа
229,Примітка 1490,Хліб,Їжа
-959,Примітка 1491,Оренда офісу,Канцелярія
-498,Примітка 1492,Мило,Їжа
-266,Примітка 1493,Хліб,Їжа
-243,Примітка 1494,Кава,Інше
-152,Примітка 1495,Оренда офісу,Канцелярія
-618,Примітка 1496,Хліб,Інше
-112,Примітка 1497,Папір,Інше
-97,Примітка 1498,Ручка,Їжа
936,Примітка 1499,Ручка,Оренда
-179,Примітка 1500,Кава,Інше
-37,Примітка 1501,Хліб,Їжа
797,Примітка 1502,Кава,Їжа
-411,Примітка 1503,Папір,Канцелярія
885,Примітка 1504,Папір,Оренда
629,Примітка 1505,Оренда офісу,Їжа
-290,Примітка 1506,Папір,Канцелярія
734,Примітка 1507,Хліб,Канцелярія
575,Примітка 1508,Ручка,Оренда
-628,Примітка 1509,Шафа,Їжа
852,Примітка 1510,Хліб,Канцелярія
871,Примітка 1511,Оренда офісу,Канцелярія
968,Примітка 1512,Хліб,Їжа
358,Примітка 1513,Шафа,Їжа
-617,Примітка 1514,Папір,Оренда
3,Примітка 1515,Хліб,Їжа
610,Примітка 1516,Кава,Їжа
447,Примітка 1517,Кава,Оренда
-690,Примітка 1518,Папір,Канцелярія
-675,Примітка 1519,Папір,Оренда
-516,Примітка 1520,Хліб,Оренда
-564,Примітка 1521,Кава,Канцелярія
-485,Примітка 1522,Папір,Їжа
683,Примітка 1523,Ручка,Канцелярія
-971,Примітка 1524,Папір,Канцелярія
-905,Примітка 1525,Кава,Інше
360,Примітка 1526,Оренда офісу,Оренда
507,Примітка 1527,Шафа,Канцелярія
-200,Примітка 1528,Ручка,Їжа
711,Примітка 1529,Папір,Оренда
-972,Примітка 1530,Оренда офісу,Канцелярія
587,Примітка 1531,Ручка,Канцелярія
-798,Примітка 1532,Мило,Канцелярія
-555,Примітка 1533,Оренда офісу,Оренда
-861,Примітка 1534,Хліб,Їжа
814,Примітка 1535,Оренда офісу,Інше
-448,Примітка 1536,Мило,Оренда
-656,Примітка 1537,Папір,Оренда
-956,Примітка 1538,Оренда офісу,Їжа
914,Примітка 1539,Кава,Оренда
-860,Примітка 1540,Ручка,Оренда
579,Примітка 1541,Ручка,Інше
242,Примітка 1542,Кава,Інше
17,Примітка 1543,Кава,Їжа
639,Примітка 1544,Шафа,Канцелярія
140,Примітка 1545,Папір,Інше
873,Примітка 1546,Папір,Інше
-347,Примітка 1547,Кава,Оренда
-538,Примітка 1548,Оренда офісу,Інше
835,Примітка 1549,Ручка,Їжа
200,Примітка 1550,Папір,Інше
-362,Примітка 1551,Ручка,Канцелярія
-632,Примітка 1552,Оренда офісу,Їжа
-381,Примітка 1553,Кава,Інше
-256,Примітка 1554,Хліб,Інше
235,Примітка 1555,Ручка,Інше
564,Примітка 1556,Хліб,Їжа
-337,Примітка 1557,Папір,Оренда
65,Примітка 1558,Кава,Канцелярія
-190,Примітка 1559,Папір,Інше
-772,Примітка 1560,Шафа,Канцелярія
-300,Примітка 1561,Папір,Інше
-132,Примітка 1562,Шафа,Їжа
777,Примітка 1563,Шафа,Канцелярія
-631,Примітка 1564,Ручка,Канцелярія
-398,Примітка 1565,Папір,Оренда
-635,Примітка 1566,Кава,Їжа
-945,Примітка 1567,Мило,Канцелярія
-613,Примітка 1568,Шафа,Інше
-916,Примітка 1569,Шафа,Інше
247,Примітка 1570,Хліб,Інше
-9,Примітка 1571,Ручка,Канцелярія
-647,Примітка 1572,Оренда офісу,Інше
-367,Примітка 1573,Мило,Інше
525,Примітка 1574,Ручка,Інше
-366,Примітка 1575,Хліб,Інше
708,Примітка 1576,Ручка,Їжа
-706,Примітка 1577,Папір,Оренда
-795,Примітка 1578,Мило,Інше
295,Примітка 1579,Кава,Їжа
-645,Примітка 1580,Папір,Оренда
-598,Примітка 1581,Папір,Канцелярія
-404,Примітка 1582,Хліб,Канцелярія
-935,Примітка 1583,Кава,Інше
407,Примітка 1584,Папір,Їжа
680,Примітка 1585,Папір,Оренда
-219,Примітка 1586,Кава,Канцелярія
199,Примітка 1587,Ручка,Канцелярія
-300,Примітка 1588,Папір,Їжа
85,Примітка 1589,Кава,Інше
-10,Примітка 1590,Оренда офісу,Інше
916,Примітка 1591,Хліб,Інше
-72,Примітка 1592,Ручка,Канцелярія
-159,Примітка 1593,Папір,Оренда
-409,Примітка 1594,Мило,Інше
-202,Примітка 1595,Мило,Їжа
503,Примітка 1596,Хліб,Інше
-181,Примітка 1597,Шафа,Інше
456,Примітка 1598,Шафа,Інше
-845,Примітка 1599,Папір,Інше
271,Примітка 1600,Оренда офісу,Їжа
60,Примітка 1601,Папір,Оренда
-368,Примітка 1602,Кава,Інше
983,Примітка 1603,Папір,Канцелярія
-670,Примітка 1604,Шафа,Їжа
702,Примітка 1605,Мило,Канцелярія
-287,Примітка 1606,Шафа,Їжа
361,Примітка 1607,Хліб,Їжа
-149,Примітка 1608,Хліб,Оренда
-188,Примітка 1609,Кава,Оренда
947,Примітка 1610,Мило,Канцелярія
-927,Примітка 1611,Оренда офісу,Оренда
-493,Примітка 1612,Папір,Оренда
974,Примітка 1613,Ручка,Канцелярія
-280,Примітка 1614,Папір,Інше
812,Примітка 1615,Кава,Інше
740,Примітка 1616,Ручка,Інше
218,Примітка 1617,Мило,Канцелярія
764,Примітка 1618,Кава,Інше
386,Примітка 1619,Хліб,Канцелярія
545,Примітка 1620,Шафа,Інше
881,Примітка 1621,Кава,Їжа
-958,Примітка 1622,Хліб,Їжа
-330,Примітка 1623,Мило,Канцелярія
-245,Примітка 1624,Шафа,Канцелярія
-421,Примітка 1625,Хліб,Оренда
916,Примітка 1626,Ручка,Їжа
90,Примітка 1627,Шафа,Інше
366,Примітка 1628,Мило,Їжа
353,Примітка 1629,Хліб,Канцелярія
-504,Примітка 1630,Кава,Оренда
-328,Примітка 1631,Хліб,Канцелярія
-730,Примітка 1632,Мило,Оренда
-270,Примітка 1633,Кава,Канцелярія
-143,Примітка 1634,Кава,Їжа
283,Примітка 1635,Ручка,Оренда
-24,Примітка 1636,Кава,Канцелярія
-614,Примітка 1637,Кава,Інше
27,Примітка 1638,Папір,Канцелярія
517,Примітка 1639,Ручка,Їжа
784,Примітка 1640,Мило,Їжа
833,Примітка 1641,Хліб,Оренда
-189,Примітка 1642,Ручка,Оренда
-71,Примітка 1643,Папір,Інше
585,Примітка 1644,Хліб,Оренда
500,Примітка 1645,Ручка,Оренда
814,Примітка 1646,Кава,Інше
25,Примітка 1647,Оренда офісу,Їжа
114,Примітка 1648,Кава,Їжа
-676,Примітка 1649,Папір,Інше
-226,Примітка 1650,Оренда офісу,Їжа
-59,Примітка 1651,Кава,Інше
327,Примітка 1652,Оренда офісу,Їжа
953,Примітка 1653,Кава,Канцелярія
61,Примітка 1654,Папір,Інше
591,Примітка 1655,Оренда офісу,Їжа
947,Примітка 1656,Хліб,Канцелярія
-423,Примітка 1657,Кава,Інше
420,Примітка 1658,Ручка,Канцелярія
-90,Примітка 1659,Кава,Канцелярія
780,Примітка 1660,Ручка,Канцелярія
-233,Примітка 1661,Кава,Канцелярія
787,Примітка 1662,Ручка,Канцелярія
-138,Примітка 1663,Хліб,Канцелярія
-147,Примітка 1664,Папір,Канцелярія
-193,Примітка 1665,Шафа,Оренда
973,Примітка 1666,Оренда офісу,Оренда
13,Примітка 1667,Ручка,Інше
-316,Примітка 1668,Кава,Оренда
-659,Примітка 1669,Шафа,Оренда
684,Примітка 1670,Хліб,Інше
-114,Примітка 1671,Кава,Їжа
482,Примітка 1672,Хліб,Інше
980,Примітка 1673,Папір,Канцелярія
-843,Примітка 1674,Папір,Оренда
-213,Примітка 1675,Мило,Канцелярія
283,Примітка 1676,Оренда офісу,Оренда
-316,Примітка 1677,Мило,Канцелярія
-262,Примітка 1678,Шафа,Інше
-347,Примітка 1679,Оренда офісу,Оренда
339,Примітка 1680,Шафа,Оренда
476,Примітка 1681,Шафа,Інше
-89,Примітка 1682,Мило,Їжа
724,Примітка 1683,Папір,Їжа
-563,Примітка 1684,Мило,Їжа
-758,Примітка 1685,Мило,Оренда
554,Примітка 1686,Хліб,Їжа
892,Примітка 1687,Кава,Канцелярія
-692,Примітка 1688,Кава,Оренда
-762,Примітка 1689,Оренда офісу,Інше
134,Примітка 1690,Ручка,Канцелярія
964,Примітка 1691,Мило,Інше
24,Примітка 1692,Шафа,Інше
251,Примітка 1693,Шафа,Інше
91,Примітка 1694,Хліб,Оренда
-786,Примітка 1695,Хліб,Їжа
113,Примітка 1696,Оренда офісу,Канцелярія
519,Примітка 1697,Шафа,Інше
-309,Примітка 1698,Ручка,Оренда
665,Примітка 1699,Мило,Їжа
-141,Примітка 1700,Оренда офісу,Їжа
849,Примітка 1701,Мило,Інше
-61,Примітка 1702,Оренда офісу,Інше
-327,Примітка 1703,Кава,Їжа
-566,Примітка 1704,Хліб,Їжа
-695,Примітка 1705,Папір,Оренда
225,Примітка 1706,Оренда офісу,Їжа
-924,Примітка 1707,Хліб,Їжа
759,Примітка 1708,Хліб,Канцелярія
-820,Примітка 1709,Шафа,Оренда
328,Примітка 1710,Шафа,Інше
766,Примітка 1711,Оренда офісу,Інше
8,Примітка 1712,Кава,Оренда
-146,Примітка 1713,Кава,Їжа
979,Примітка 1714,Папір,Канцелярія
-379,Примітка 1715,Папір,Інше
414,Примітка 1716,Хліб,Їжа
-804,Примітка 1717,Мило,Їжа
-969,Примітка 1718,Оренда офісу,Інше
503,Примітка 1719,Ручка,Канцелярія
-371,Примітка 1720,Кава,Канцелярія
-963,Примітка 1721,Хліб,Канцелярія
-179,Примітка 1722,Папір,Їжа
479,Примітка 1723,Шафа,Інше
-625,Примітка 1724,Папір,Канцелярія
-185,Примітка 1725,Хліб,Оренда
87,Примітка 1726,Кава,Їжа
-738,Примітка 1727,Хліб,Їжа
-311,Примітка 1728,Папір,Канцелярія
633,Примітка 1729,Оренда офісу,Оренда
887,Примітка 1730,Ручка,Інше
-678,Примітка 1731,Хліб,Їжа
716,Примітка 1732,Папір,Їжа
847,Примітка 1733,Шафа,Канцелярія
-870,Примітка 1734,Шафа,Оренда
-615,Примітка 1735,Оренда офісу,Їжа
599,Примітка 1736,Кава,Канцелярія
-8,Примітка 1737,Хліб,Оренда
970,Примітка 1738,Хліб,Їжа
-713,Примітка 1739,Мило,Їжа
958,Примітка 1740,Оренда офісу,Оренда
-782,Примітка 1741,Ручка,Канцелярія
-797,Примітка 1742,Ручка,Оренда
429,Примітка 1743,Мило,Їжа
-965,Примітка 1744,Шафа,Їжа
185,Примітка 1745,Мило,Їжа
613,Примітка 1746,Оренда офісу,Їжа
-333,Примітка 1747,Хліб,Канцелярія
-494,Примітка 1748,Кава,Інше
829,Примітка 1749,Шафа,Оренда
-177,Примітка 1750,Ручка,Оренда
-523,Примітка 1751,Ручка,Їжа
-909,Примітка 1752,Хліб,Інше
-357,Примітка 1753,Оренда офісу,Інше
-340,Примітка 1754,Ручка,Інше
-870,Примітка 1755,Папір,Їжа
573,Примітка 1756,Мило,Оренда
-714,Примітка 1757,Оренда офісу,Оренда
-47,Примітка 1758,Хліб,Інше
731,Примітка 1759,Хліб,Їжа
457,Примітка 1760,Мило,Їжа
-65,Примітка 1761,Мило,Їжа
191,Примітка 1762,Шафа,Інше
137,Примітка 1763,Мило,Канцелярія
-838,Примітка 1764,Шафа,Їжа
10,Примітка 1765,Оренда офісу,Інше
422,Примітка 1766,Папір,Оренда
-21,Примітка 1767,Шафа,Їжа
378,Примітка 1768,Хліб,Канцелярія
-225,Примітка 1769,Хліб,Їжа
-963,Примітка 1770,Хліб,Оренда
-547,Примітка 1771,Хліб,Канцелярія
600,Примітка 1772,Кава,Оренда
415,Примітка 1773,Мило,Канцелярія
978,Примітка 1774,Ручка,Інше
-326,Примітка 1775,Мило,Канцелярія
913,Примітка 1776,Хліб,Їжа
-229,Примітка 1777,Кава,Канцелярія
-408,Примітка 1778,Мило,Інше
604,Примітка 1779,Оренда офісу,Оренда
-184,Примітка 1780,Хліб,Інше
-151,Примітка 1781,Мило,Оренда
608,Примітка 1782,Хліб,Оренда
876,Примітка 1783,Шафа,Інше
-830,Примітка 1784,Ручка,Канцелярія
-657,Примітка 1785,Папір,Інше
-454,Примітка 1786,Папір,Канцелярія
-666,Примітка 1787,Мило,Оренда
-896,Примітка 1788,Хліб,Оренда
638,Примітка 1789,Кава,Оренда
905,Примітка 1790,Мило,Їжа
354,Примітка 1791,Папір,Їжа
-455,Примітка 1792,Мило,Канцелярія
-203,Примітка 1793,Оренда офісу,Канцелярія
